funding_amount_m,team_size,years_active,market_size_m,num_competitors,revenue_year1_m,burn_rate_m,customer_count,product_score,marketing_spend_m,industry,funding_stage,future_revenue_m,success
5.56,32,3.1,1354.0,56,0.34,0.198,1340,3,0.81,Cybersecurity,Pre-Seed,4.37,1
7.73,48,3.0,1580.8,76,0.53,0.245,3107,7,0.99,HealthTech,Seed,11.81,0
1.44,101,0.9,1499.3,65,0.14,0.053,2266,8,0.33,FinTech,Series C,12.31,0
1.65,110,8.0,2009.9,31,0.21,0.059,2414,2,0.38,Cybersecurity,Series A,12.23,1
0.35,89,4.7,232.5,4,0.1,0.005,4123,10,0.04,CleanTech,Series B,10.45,1
3.02,53,10.4,1125.3,50,0.32,0.126,2346,7,0.52,Logistics,Series A,10.56,1
0.13,57,5.9,493.7,69,0.01,0.002,1491,8,0.03,SaaS,Seed,7.68,0
2.19,16,11.6,1476.1,30,0.7,0.082,437,6,0.53,HealthTech,Seed,10.78,0
2.74,30,2.6,1043.0,59,0.78,0.07,775,6,0.42,E-Commerce,Pre-Seed,6.76,0
1.18,9,10.5,1198.5,67,0.24,0.035,565,10,0.17,HealthTech,Pre-Seed,8.97,1
3.13,6,9.4,854.1,75,0.76,0.144,323,1,0.33,SaaS,Seed,6.24,0
0.11,30,9.4,156.3,45,0.02,0.005,2022,4,0.03,CleanTech,Series C,1.69,0
0.13,48,10.2,630.0,4,0.03,0.006,3751,1,0.01,CleanTech,Series C,2.16,1
6.05,69,9.3,3342.3,26,1.38,0.179,2798,4,1.0,Cybersecurity,Series B,16.86,1
1.56,77,7.7,2216.6,27,0.29,0.061,770,2,0.17,BioTech,Pre-Seed,10.05,0
0.48,46,2.0,35.3,46,0.18,0.014,395,5,0.05,E-Commerce,Series B,6.08,0
2.59,3,0.9,144.1,64,0.14,0.115,81,10,0.34,Cybersecurity,Pre-Seed,4.47,0
5.14,28,11.1,113.0,51,1.66,0.129,2098,9,1.28,E-Commerce,Seed,9.42,1
0.85,96,7.6,1035.6,50,0.08,0.041,4247,10,0.05,E-Commerce,Series C,10.74,1
3.41,116,9.7,1362.1,6,1.12,0.161,2944,3,0.57,SaaS,Series C,15.45,1
0.31,116,6.0,192.1,59,0.08,0.012,4052,8,0.02,Cybersecurity,Seed,9.75,1
0.19,37,1.8,563.9,15,0.07,0.004,1846,3,0.02,E-Commerce,Series B,4.36,0
2.65,37,1.9,1469.6,30,0.22,0.037,1996,6,0.37,AI/ML,Series B,8.88,1
2.72,27,8.4,1055.8,42,0.67,0.12,446,4,0.41,SaaS,Series A,9.67,1
3.55,44,5.4,625.1,37,0.8,0.054,3444,8,0.36,CleanTech,Pre-Seed,8.73,0
4.53,28,2.8,714.0,42,1.35,0.199,1284,6,0.51,SaaS,Series B,11.82,0
13.03,70,6.2,568.0,35,3.09,0.375,1062,8,0.88,FinTech,Seed,19.26,1
2.54,21,1.2,282.5,6,0.61,0.064,1512,1,0.28,FinTech,Series B,4.05,0
1.37,12,7.2,666.0,68,0.27,0.063,127,6,0.33,E-Commerce,Series C,9.31,0
5.55,75,3.6,934.1,18,0.88,0.186,5481,1,1.33,Cybersecurity,Pre-Seed,8.3,0
1.11,105,9.7,1652.9,73,0.24,0.036,8372,1,0.13,CleanTech,Series A,9.95,0
2.02,39,4.1,809.1,29,0.18,0.064,2243,8,0.33,SaaS,Pre-Seed,6.17,1
0.29,7,5.7,1145.4,77,0.11,0.007,439,7,0.07,Cybersecurity,Series C,7.68,0
0.1,73,0.6,139.6,59,0.03,0.004,2211,3,0.01,SaaS,Series C,7.82,0
11.51,24,1.3,495.3,47,4.41,0.217,1814,6,2.44,SaaS,Series C,21.34,1
6.33,48,5.0,10.0,17,0.82,0.3,2146,9,1.52,AI/ML,Series C,11.21,0
4.17,91,6.0,226.6,22,1.49,0.19,5453,7,0.28,FinTech,Seed,12.19,0
1.84,47,7.4,1037.1,68,0.61,0.041,3492,3,0.15,SaaS,Series A,7.49,1
0.67,108,3.9,3843.9,69,0.19,0.026,8438,6,0.16,AI/ML,Series C,15.14,1
0.6,13,8.5,83.6,37,0.16,0.019,877,4,0.09,FinTech,Series C,6.05,1
1.01,91,10.4,410.7,49,0.16,0.023,2523,3,0.05,AI/ML,Series B,8.1,0
2.79,14,9.5,1287.8,13,0.94,0.138,1084,9,0.28,Cybersecurity,Series A,9.56,1
4.39,105,1.0,182.6,34,0.99,0.041,5471,10,0.61,BioTech,Pre-Seed,15.39,1
3.78,63,6.0,647.9,53,0.28,0.071,4712,2,0.71,FinTech,Series A,5.74,0
1.15,83,1.7,1056.6,51,0.18,0.035,4623,1,0.23,Logistics,Series A,8.42,0
10.84,90,3.3,765.7,3,4.09,0.326,2523,2,2.7,BioTech,Series A,19.7,0
4.69,98,11.8,166.6,42,1.63,0.154,3209,7,0.5,Cybersecurity,Series C,14.23,0
2.83,112,2.1,351.3,32,1.11,0.112,5183,10,0.45,SaaS,Series C,13.75,1
3.31,105,6.2,1225.2,51,0.89,0.114,6746,1,0.52,CleanTech,Seed,9.4,0
1.9,61,7.6,646.4,46,0.26,0.063,1759,6,0.25,Cybersecurity,Pre-Seed,8.21,0
1.0,44,8.6,10.0,21,0.11,0.011,2133,7,0.08,AI/ML,Series B,7.15,0
1.54,77,6.9,1145.0,44,0.18,0.037,2380,9,0.38,AI/ML,Series A,10.99,1
4.96,109,0.6,28.8,11,0.28,0.089,7213,8,1.09,AI/ML,Pre-Seed,11.89,1
0.1,101,4.3,1095.5,68,0.02,0.002,4040,6,0.01,AI/ML,Pre-Seed,8.59,1
0.43,113,6.5,181.0,1,0.05,0.014,1215,3,0.07,Cybersecurity,Seed,7.47,0
0.16,69,1.5,2537.5,63,0.03,0.003,1204,8,0.02,CleanTech,Series B,11.92,0
0.15,6,4.5,367.0,24,0.06,0.003,57,7,0.02,HealthTech,Series A,5.29,1
6.77,38,0.9,316.7,13,1.36,0.123,1613,3,1.28,AI/ML,Series B,9.09,0
4.26,73,1.4,129.0,11,1.52,0.204,947,9,0.65,HealthTech,Seed,13.26,0
2.25,107,5.1,291.8,51,0.59,0.107,1450,2,0.56,CleanTech,Series C,10.42,0
0.36,114,2.0,1674.2,17,0.05,0.012,8615,3,0.06,CleanTech,Pre-Seed,12.16,1
2.37,93,7.0,4487.0,24,0.41,0.111,6551,2,0.29,BioTech,Series A,18.14,1
2.25,32,8.4,367.5,19,0.18,0.092,1245,1,0.46,FinTech,Series C,2.33,0
0.67,10,9.7,476.3,37,0.11,0.022,789,4,0.06,Logistics,Seed,3.67,1
1.99,119,2.8,1024.3,8,0.57,0.017,596,5,0.25,E-Commerce,Series B,11.6,0
1.78,52,2.4,1738.6,28,0.13,0.072,2654,6,0.21,Logistics,Pre-Seed,9.37,0
3.35,30,1.7,719.2,5,0.41,0.126,1536,5,0.46,Cybersecurity,Series A,6.44,1
3.53,79,7.8,397.4,17,0.65,0.12,3105,1,0.73,E-Commerce,Series C,6.28,0
0.16,41,8.6,425.7,36,0.06,0.006,1425,3,0.02,CleanTech,Series C,1.52,0
1.64,42,0.9,951.6,19,0.53,0.049,1644,1,0.34,Logistics,Pre-Seed,5.5,0
3.44,87,11.3,10.0,64,1.06,0.13,3142,5,0.57,EdTech,Series B,10.09,0
2.45,12,1.1,773.2,11,0.22,0.116,717,5,0.29,FinTech,Seed,3.49,0
6.79,24,6.7,351.4,54,2.2,0.163,363,6,1.44,Logistics,Series B,11.68,0
3.76,2,8.7,1264.7,45,1.22,0.142,39,8,0.37,FinTech,Series B,13.08,0
0.62,47,10.5,78.1,47,0.16,0.017,871,10,0.06,HealthTech,Series B,8.62,0
0.26,102,8.7,709.8,12,0.1,0.009,2517,1,0.04,Cybersecurity,Pre-Seed,9.98,1
3.6,22,9.7,524.6,21,0.59,0.144,976,4,0.37,FinTech,Pre-Seed,6.81,1
0.1,91,4.4,822.5,11,0.04,0.001,1213,10,0.01,HealthTech,Seed,12.4,1
3.08,111,9.9,53.6,5,1.14,0.109,7782,1,0.55,AI/ML,Series B,8.55,1
9.86,37,1.4,694.0,56,0.53,0.175,1010,9,1.5,HealthTech,Pre-Seed,10.08,0
3.0,55,10.8,659.5,20,0.62,0.109,945,7,0.42,Cybersecurity,Seed,5.26,1
1.72,88,6.8,658.0,41,0.67,0.048,4899,7,0.42,BioTech,Seed,12.65,1
3.61,58,9.9,740.0,46,0.31,0.146,455,5,0.59,AI/ML,Series B,10.55,0
2.15,2,5.7,902.8,12,0.52,0.029,102,7,0.48,CleanTech,Series A,6.12,1
2.76,64,7.9,1307.8,70,1.08,0.095,3671,2,0.21,SaaS,Series B,10.1,0
9.93,55,6.6,251.6,17,2.43,0.198,1161,4,1.63,HealthTech,Series A,12.48,0
1.71,56,8.9,1394.6,19,0.2,0.075,456,7,0.38,HealthTech,Seed,10.38,0
11.37,116,1.4,551.7,26,2.89,0.535,3743,3,1.89,FinTech,Pre-Seed,19.58,0
8.25,41,1.2,64.2,48,1.0,0.411,508,2,1.6,CleanTech,Series C,4.54,0
0.76,16,3.3,48.3,52,0.18,0.032,219,10,0.09,Logistics,Seed,6.14,0
0.25,22,2.3,325.5,70,0.02,0.01,529,2,0.02,EdTech,Pre-Seed,2.37,0
0.37,48,10.5,1229.3,55,0.1,0.006,1303,1,0.05,E-Commerce,Seed,6.27,0
0.1,74,3.0,983.9,75,0.02,0.002,3311,5,0.01,HealthTech,Series B,8.83,1
0.35,54,11.7,1243.3,33,0.11,0.01,3017,6,0.08,Logistics,Series A,8.16,1
4.02,10,4.4,582.6,62,1.09,0.163,494,6,0.4,EdTech,Seed,7.75,0
0.26,75,2.6,464.1,23,0.06,0.012,1209,9,0.06,E-Commerce,Pre-Seed,8.35,1
1.34,53,9.6,127.6,15,0.39,0.022,949,4,0.32,SaaS,Series B,7.34,1
6.52,58,8.1,318.2,27,0.65,0.305,4112,1,0.65,FinTech,Series C,7.66,1
0.1,118,6.2,455.4,75,0.03,0.004,5531,6,0.01,Logistics,Series B,9.82,0
5.9,27,6.9,74.2,64,0.65,0.199,1896,5,1.35,FinTech,Series A,4.62,0
1.16,42,8.8,199.4,51,0.43,0.019,1380,10,0.28,E-Commerce,Series B,7.4,1
0.44,36,3.1,729.5,53,0.03,0.005,1838,6,0.06,BioTech,Series C,7.5,1
4.18,64,12.0,1064.4,78,0.84,0.134,2833,3,0.48,HealthTech,Pre-Seed,10.1,0
3.47,117,11.7,5000.0,51,1.02,0.123,3385,2,0.54,AI/ML,Seed,22.98,1
7.35,26,8.0,2163.8,47,1.55,0.126,1046,6,1.38,EdTech,Series A,17.37,1
4.65,91,2.8,823.0,4,0.38,0.147,3884,1,0.49,CleanTech,Series C,10.53,0
5.69,76,8.3,437.5,7,1.39,0.25,1524,7,1.12,Cybersecurity,Series A,12.47,0
1.16,39,1.3,808.9,35,0.32,0.05,1116,7,0.07,HealthTech,Series B,6.97,0
0.68,3,0.9,1232.1,48,0.2,0.032,193,10,0.04,AI/ML,Series A,3.92,1
4.86,8,3.5,100.8,73,0.88,0.115,589,7,0.62,Cybersecurity,Series C,6.62,0
5.75,83,5.8,422.0,72,1.42,0.124,2654,10,0.69,Logistics,Seed,13.7,1
16.3,92,10.5,1465.1,45,3.39,0.645,2578,1,1.84,Cybersecurity,Seed,21.18,0
1.86,35,8.9,387.4,72,0.53,0.049,687,4,0.28,SaaS,Series A,5.83,0
1.63,92,9.0,678.7,19,0.41,0.02,5141,7,0.19,HealthTech,Pre-Seed,10.02,1
5.24,18,5.4,708.9,63,1.23,0.105,526,9,0.46,FinTech,Series A,7.97,0
1.46,44,4.5,163.1,38,0.2,0.038,3479,5,0.16,BioTech,Series B,4.04,1
9.35,60,4.8,359.8,67,0.47,0.192,1765,2,2.29,CleanTech,Seed,8.97,0
6.84,109,11.9,325.8,59,0.76,0.152,3767,7,0.9,FinTech,Seed,15.25,1
1.96,52,1.0,21.2,69,0.18,0.04,2613,10,0.27,AI/ML,Seed,7.46,1
4.86,55,10.5,19.6,13,1.01,0.049,3581,1,0.8,HealthTech,Pre-Seed,7.57,1
4.92,25,7.2,1425.6,47,1.3,0.172,1005,7,1.21,BioTech,Pre-Seed,13.28,1
0.38,26,5.5,255.1,61,0.05,0.013,954,6,0.04,Cybersecurity,Series C,3.31,0
8.15,72,8.8,584.0,31,3.09,0.29,5736,7,1.52,HealthTech,Series A,17.94,1
2.46,53,6.1,283.9,22,0.13,0.04,306,10,0.48,Cybersecurity,Series A,7.2,0
6.13,71,10.5,2259.8,43,1.96,0.127,5121,3,1.05,Logistics,Series B,17.96,1
1.35,118,10.9,240.1,67,0.36,0.046,1909,3,0.09,SaaS,Seed,9.12,1
7.91,89,5.3,449.2,54,1.43,0.264,5691,7,1.47,E-Commerce,Pre-Seed,14.2,1
1.73,34,3.7,1649.2,10,0.12,0.051,1745,2,0.11,HealthTech,Series B,6.0,0
0.1,50,7.3,1475.8,42,0.03,0.002,1531,1,0.02,AI/ML,Series B,7.6,0
8.25,30,11.0,164.7,64,1.53,0.383,2116,9,1.63,Cybersecurity,Pre-Seed,14.16,1
0.34,64,2.9,1298.2,21,0.13,0.008,381,9,0.03,FinTech,Series A,8.81,0
1.35,108,7.7,490.3,76,0.32,0.037,2376,7,0.29,Logistics,Seed,10.0,0
10.49,23,7.8,527.7,66,3.97,0.384,1092,7,0.59,AI/ML,Series A,17.87,0
10.53,27,8.9,114.6,41,1.34,0.326,846,3,2.3,CleanTech,Series B,9.86,1
2.98,29,2.0,67.2,24,0.91,0.068,1472,10,0.42,E-Commerce,Seed,7.8,1
3.5,115,8.7,1041.4,35,0.93,0.093,782,2,0.33,Logistics,Series C,7.99,0
2.08,86,11.0,548.9,56,0.64,0.086,1181,7,0.16,SaaS,Series B,12.51,1
1.21,50,2.6,459.4,30,0.15,0.024,726,9,0.29,E-Commerce,Series A,9.03,0
1.39,72,3.2,1046.0,57,0.39,0.02,1382,1,0.09,Cybersecurity,Series A,5.25,0
3.91,82,11.7,1160.3,47,0.88,0.084,3234,4,0.35,AI/ML,Series A,10.78,1
4.89,85,2.6,138.4,35,1.52,0.214,5219,6,0.58,CleanTech,Pre-Seed,14.17,1
5.49,106,10.3,753.7,19,0.9,0.066,7729,7,0.96,EdTech,Series B,15.85,1
5.46,50,6.2,116.3,8,1.97,0.271,3382,10,0.87,SaaS,Seed,14.21,1
0.33,21,3.3,1113.4,26,0.03,0.01,415,7,0.02,BioTech,Series A,6.41,0
2.39,119,10.5,855.9,71,0.79,0.118,4532,10,0.26,Cybersecurity,Series A,14.58,1
0.21,87,5.6,2510.1,30,0.07,0.01,1736,2,0.02,EdTech,Pre-Seed,11.2,0
2.79,93,6.4,57.2,7,0.94,0.076,2309,4,0.26,HealthTech,Seed,11.11,0
2.04,64,4.6,47.0,67,0.47,0.034,2737,5,0.27,CleanTech,Series B,5.72,0
7.65,62,7.3,265.2,65,1.56,0.116,626,1,1.46,FinTech,Series C,8.89,0
1.51,105,2.4,242.7,36,0.6,0.028,2243,1,0.14,BioTech,Pre-Seed,9.64,0
0.44,50,5.0,226.9,25,0.06,0.017,3757,10,0.05,AI/ML,Series B,7.23,1
0.54,72,11.6,1893.7,37,0.13,0.011,2877,3,0.07,CleanTech,Series C,11.88,0
5.02,2,3.5,229.7,1,1.43,0.113,76,10,1.23,E-Commerce,Series A,8.5,1
3.37,97,8.1,253.9,15,1.0,0.091,590,3,0.81,Logistics,Series A,9.91,0
0.37,14,4.2,1139.7,37,0.04,0.017,329,8,0.08,E-Commerce,Seed,5.43,0
0.31,95,9.4,477.9,13,0.09,0.005,6647,9,0.03,E-Commerce,Series C,9.82,1
4.23,88,2.0,1199.4,8,1.42,0.036,1526,1,0.27,HealthTech,Series A,10.21,1
0.26,52,11.7,54.1,5,0.02,0.003,1878,2,0.03,SaaS,Series A,2.92,0
6.04,57,5.7,534.9,60,2.23,0.278,346,10,0.62,FinTech,Seed,12.81,0
4.29,84,3.2,27.4,73,0.26,0.151,3433,2,0.65,BioTech,Series B,7.74,0
0.3,63,1.3,51.8,1,0.05,0.006,414,4,0.06,SaaS,Series A,6.15,0
0.31,33,2.5,1895.3,36,0.02,0.005,2193,2,0.07,CleanTech,Pre-Seed,4.54,1
15.1,31,6.5,120.0,35,1.16,0.311,2072,7,3.31,E-Commerce,Pre-Seed,13.45,1
1.64,30,4.4,608.1,66,0.61,0.022,1922,9,0.2,HealthTech,Series B,12.28,0
1.62,50,10.0,423.6,63,0.28,0.077,1312,7,0.3,CleanTech,Series C,7.42,1
5.86,46,5.5,341.4,23,1.16,0.24,3118,6,0.66,Logistics,Seed,8.74,1
10.3,94,3.4,1840.7,9,1.29,0.284,4298,10,0.64,FinTech,Pre-Seed,23.1,1
14.94,31,7.6,17.7,34,3.87,0.663,1024,1,2.84,BioTech,Pre-Seed,12.85,0
4.9,17,8.6,872.0,46,1.27,0.092,882,10,0.25,Logistics,Series B,11.43,1
1.65,41,2.4,2646.0,78,0.3,0.063,242,9,0.22,HealthTech,Series C,13.39,0
0.31,20,2.4,657.1,4,0.05,0.014,314,5,0.04,FinTech,Series C,6.78,0
5.25,19,0.9,2209.4,30,1.89,0.122,1152,5,0.99,CleanTech,Series B,14.85,0
2.86,2,9.0,42.9,75,0.53,0.114,46,6,0.58,E-Commerce,Pre-Seed,3.81,0
1.93,79,8.1,434.1,72,0.43,0.04,3938,9,0.21,E-Commerce,Seed,8.74,1
8.29,116,6.0,241.1,3,1.24,0.172,3930,8,1.76,Cybersecurity,Pre-Seed,14.31,1
0.41,48,10.2,1049.9,14,0.13,0.005,3317,8,0.04,E-Commerce,Series C,7.05,1
2.37,115,9.8,3183.3,60,0.45,0.063,8789,8,0.33,EdTech,Pre-Seed,18.37,1
0.1,67,7.2,237.1,77,0.02,0.004,4774,1,0.02,E-Commerce,Seed,3.54,0
2.21,119,10.5,849.5,45,0.31,0.105,3010,1,0.42,EdTech,Series A,7.38,1
0.2,93,2.9,176.6,34,0.08,0.007,1819,8,0.05,AI/ML,Pre-Seed,10.4,0
0.44,114,1.8,666.5,45,0.07,0.019,4626,5,0.04,EdTech,Series B,8.82,1
0.44,115,3.6,498.8,61,0.14,0.019,638,9,0.08,FinTech,Series A,9.09,1
3.67,95,1.2,2860.6,16,0.73,0.057,658,2,0.63,Logistics,Series B,14.98,1
4.8,39,6.6,750.3,66,0.59,0.137,1813,9,1.12,FinTech,Series B,10.09,1
3.06,52,11.3,344.0,40,1.01,0.04,2289,8,0.25,Logistics,Series B,7.37,1
11.46,64,1.0,96.9,17,1.91,0.421,5093,9,2.3,Cybersecurity,Pre-Seed,14.9,1
1.64,5,1.9,131.2,34,0.58,0.079,100,4,0.27,AI/ML,Series C,2.38,0
1.18,2,5.7,204.2,16,0.44,0.017,48,1,0.12,Logistics,Series A,4.98,0
7.1,9,11.2,231.2,60,2.49,0.276,121,1,1.03,Logistics,Seed,9.99,0
0.89,30,4.1,1521.0,66,0.06,0.031,2214,5,0.1,HealthTech,Series C,6.91,1
11.56,56,6.3,659.0,66,3.76,0.377,3546,2,1.92,SaaS,Pre-Seed,16.18,0
0.1,104,1.0,592.8,13,0.02,0.002,6934,8,0.02,SaaS,Series B,9.74,1
12.26,4,2.2,97.5,56,4.36,0.284,290,10,2.01,HealthTech,Seed,19.36,1
0.15,33,11.8,1573.7,31,0.04,0.002,1464,5,0.03,E-Commerce,Series A,7.53,1
7.76,11,11.6,1026.5,34,2.65,0.135,427,5,1.19,HealthTech,Series C,13.37,1
2.63,75,0.6,56.1,39,0.59,0.024,2233,2,0.16,Logistics,Series C,6.99,0
17.35,84,11.4,984.3,67,4.12,0.565,4132,7,1.68,Logistics,Seed,22.83,1
0.27,111,7.8,627.4,8,0.03,0.003,4336,8,0.04,HealthTech,Pre-Seed,9.89,1
2.82,35,10.5,68.2,78,0.91,0.126,1360,10,0.32,HealthTech,Series A,5.65,0
12.19,98,5.7,490.4,55,2.4,0.367,7376,1,1.05,E-Commerce,Seed,16.86,0
2.59,88,6.4,530.4,27,0.58,0.097,6934,2,0.39,FinTech,Series B,8.95,1
3.47,56,6.1,145.0,53,1.13,0.088,3625,10,0.4,AI/ML,Series A,9.68,1
4.16,93,8.2,2330.6,39,1.08,0.132,5743,4,0.42,CleanTech,Series C,18.38,1
2.12,33,2.1,1517.6,65,0.26,0.101,1849,5,0.3,Logistics,Seed,8.51,1
3.46,51,0.8,884.6,17,0.89,0.041,890,2,0.27,AI/ML,Series C,7.1,0
3.07,8,4.0,496.4,30,0.59,0.058,75,1,0.72,HealthTech,Series C,5.56,0
8.1,94,8.6,424.5,53,1.74,0.331,5339,9,1.81,E-Commerce,Series C,16.03,1
0.16,9,2.8,842.1,13,0.01,0.002,536,1,0.03,EdTech,Pre-Seed,3.53,0
1.15,66,8.2,630.7,21,0.14,0.013,562,4,0.08,E-Commerce,Series C,6.44,0
10.51,58,11.7,51.4,19,1.56,0.246,4327,2,2.16,BioTech,Series B,11.06,1
7.73,68,1.6,574.8,53,2.32,0.094,804,4,1.64,BioTech,Series B,13.92,0
2.13,89,8.2,1313.6,19,0.12,0.07,2353,8,0.43,AI/ML,Series A,12.44,1
3.39,88,5.6,491.8,57,0.65,0.06,4877,8,0.25,SaaS,Series C,8.44,1
1.14,60,10.5,42.7,25,0.43,0.052,1064,9,0.2,BioTech,Series C,7.36,0
0.73,73,2.5,1234.5,31,0.07,0.03,668,5,0.16,BioTech,Seed,11.53,0
2.18,55,8.5,179.9,55,0.5,0.082,1640,7,0.36,FinTech,Pre-Seed,6.57,0
1.53,112,10.1,239.4,23,0.5,0.052,6994,3,0.27,EdTech,Series A,8.07,1
3.07,102,11.4,144.0,32,1.17,0.136,3674,10,0.43,FinTech,Series C,12.35,1
0.28,68,8.4,320.6,62,0.09,0.005,3670,4,0.04,EdTech,Seed,4.25,0
12.83,52,6.2,1130.9,74,3.88,0.574,2520,10,0.73,Cybersecurity,Pre-Seed,18.4,1
14.99,98,7.6,586.2,10,5.09,0.618,653,9,2.67,CleanTech,Series A,25.55,1
4.19,93,10.5,183.4,72,0.86,0.166,7360,10,0.28,Logistics,Series A,12.37,1
2.69,112,7.1,1681.9,54,0.89,0.085,907,10,0.37,BioTech,Series C,16.42,1
1.3,9,0.8,1693.4,52,0.07,0.024,698,1,0.14,Logistics,Series A,5.21,1
5.88,35,11.2,1635.7,20,2.2,0.153,1618,2,0.94,BioTech,Seed,13.5,0
4.04,36,8.4,218.3,32,0.83,0.167,2780,5,0.31,FinTech,Series A,8.81,0
0.62,97,8.3,480.1,14,0.15,0.006,1319,3,0.12,CleanTech,Series B,7.47,1
8.46,89,3.0,3359.2,50,1.18,0.346,3718,2,1.77,FinTech,Seed,17.25,0
6.05,79,8.1,1182.8,28,1.87,0.111,1399,1,0.5,FinTech,Pre-Seed,13.04,0
10.47,33,5.0,22.0,53,0.8,0.15,291,10,0.74,EdTech,Pre-Seed,11.41,1
4.53,47,8.0,53.9,24,1.61,0.06,2411,3,0.36,SaaS,Series C,11.06,0
3.33,108,1.7,498.8,79,1.13,0.032,2223,1,0.75,E-Commerce,Series C,9.81,0
1.9,17,8.1,1919.5,22,0.24,0.057,834,1,0.3,AI/ML,Series B,7.06,0
9.45,69,12.0,619.0,30,3.15,0.165,926,1,1.36,Logistics,Pre-Seed,16.22,1
7.04,117,1.1,551.0,63,2.29,0.349,3498,8,0.5,Cybersecurity,Pre-Seed,16.02,1
0.16,38,11.7,89.2,4,0.04,0.005,2417,3,0.03,BioTech,Pre-Seed,3.48,0
0.1,55,5.2,855.5,77,0.02,0.001,2077,1,0.02,FinTech,Pre-Seed,3.08,0
1.65,86,10.5,1381.2,59,0.24,0.061,4478,7,0.36,SaaS,Series A,8.73,1
5.82,15,9.5,383.0,8,0.76,0.266,803,10,1.02,FinTech,Seed,9.33,1
15.27,96,7.0,1195.5,12,2.47,0.601,6555,3,0.99,CleanTech,Seed,17.85,1
0.57,56,9.0,2670.1,31,0.21,0.007,1644,8,0.04,EdTech,Series B,13.39,0
3.16,49,10.6,182.3,78,0.24,0.144,2770,4,0.19,Cybersecurity,Series A,5.72,0
1.68,83,5.1,592.7,34,0.57,0.07,6401,4,0.17,E-Commerce,Pre-Seed,7.5,0
12.26,8,4.3,270.8,75,2.11,0.183,478,5,0.95,CleanTech,Pre-Seed,11.57,0
6.46,75,8.2,1259.5,76,1.5,0.068,3130,6,0.66,HealthTech,Series C,12.88,1
6.38,8,9.8,689.4,49,2.09,0.201,418,7,0.81,Cybersecurity,Series C,13.68,1
2.21,34,9.3,805.4,79,0.79,0.033,2056,4,0.53,FinTech,Series B,5.77,1
1.88,24,9.7,1279.3,57,0.32,0.081,1222,8,0.32,CleanTech,Pre-Seed,8.38,1
1.12,86,5.5,403.3,26,0.24,0.026,537,6,0.24,E-Commerce,Series B,6.99,1
0.2,20,9.9,1972.9,18,0.04,0.009,392,1,0.04,SaaS,Series A,7.13,0
7.0,113,1.9,609.2,38,0.38,0.223,7433,1,0.51,SaaS,Seed,9.62,0
5.87,20,6.8,137.5,50,0.9,0.094,508,9,1.16,Logistics,Pre-Seed,7.97,1
28.6,37,0.6,952.3,8,6.03,0.405,2215,10,3.0,E-Commerce,Series A,32.26,1
19.93,30,4.2,1261.0,41,3.86,0.645,987,6,3.54,SaaS,Pre-Seed,21.31,1
2.84,61,4.7,304.7,6,0.86,0.114,2692,10,0.34,CleanTech,Series C,11.33,0
5.13,83,5.1,1556.9,69,0.95,0.21,838,8,1.28,Logistics,Series B,13.11,0
10.14,3,8.5,1892.8,44,2.24,0.201,55,7,1.04,SaaS,Series C,13.63,1
6.63,2,5.0,259.4,64,1.33,0.112,153,6,0.7,Cybersecurity,Seed,8.37,0
0.99,48,5.7,3284.6,29,0.31,0.009,3444,4,0.23,EdTech,Series C,12.46,1
2.1,70,3.2,121.3,28,0.74,0.077,3774,7,0.12,HealthTech,Pre-Seed,9.86,1
0.48,21,4.8,180.5,11,0.11,0.006,828,9,0.09,E-Commerce,Series C,5.37,0
10.78,12,3.1,162.9,65,3.52,0.279,668,10,2.1,CleanTech,Pre-Seed,16.77,1
3.26,107,1.3,1795.4,19,0.5,0.109,5499,10,0.71,BioTech,Seed,13.23,1
0.91,3,7.4,849.7,9,0.22,0.043,142,7,0.22,FinTech,Series C,8.56,0
3.9,68,8.2,132.0,27,0.67,0.083,641,1,0.96,CleanTech,Series B,6.55,0
3.37,88,7.6,464.3,34,0.66,0.063,4616,10,0.21,SaaS,Series B,13.1,1
1.55,13,5.8,764.2,44,0.47,0.055,814,9,0.33,CleanTech,Series B,6.36,0
0.42,21,4.9,69.7,68,0.15,0.014,1670,4,0.08,BioTech,Series C,3.75,0
3.9,6,10.4,1712.5,15,0.36,0.086,34,3,0.7,FinTech,Series C,5.55,1
2.57,38,6.5,1302.1,51,0.7,0.121,2270,4,0.19,Logistics,Series C,9.58,0
5.18,39,6.0,562.9,13,1.31,0.226,1867,4,0.93,SaaS,Pre-Seed,8.74,0
2.57,95,0.8,2732.1,49,0.24,0.045,3567,10,0.63,AI/ML,Seed,16.63,1
6.69,10,4.4,432.7,70,0.83,0.122,145,2,1.55,SaaS,Series B,7.22,0
2.81,99,4.9,3313.7,56,0.45,0.083,3532,1,0.39,HealthTech,Pre-Seed,13.26,1
2.88,54,5.1,881.9,76,0.31,0.117,1705,10,0.17,AI/ML,Series B,9.19,0
7.32,45,7.2,805.6,51,0.99,0.074,1247,1,0.9,HealthTech,Pre-Seed,9.79,0
1.81,100,6.6,145.2,37,0.26,0.067,5981,8,0.39,BioTech,Series C,12.75,1
0.5,117,7.5,1709.2,17,0.08,0.018,6733,2,0.1,E-Commerce,Series B,10.86,1
0.1,87,9.3,446.2,58,0.03,0.002,4278,10,0.01,FinTech,Series C,10.41,1
